iter	Passed	Remaining
0	3	377
1	7	349
2	10	338
3	11	285
4	13	261
5	15	243
6	17	229
7	19	220
8	20	212
9	22	204
10	24	198
11	26	192
12	28	188
13	29	183
14	31	179
15	33	176
16	35	172
17	37	169
18	38	165
19	40	162
20	42	160
21	44	157
22	46	154
23	48	152
24	49	149
25	51	146
26	53	144
27	55	141
28	56	139
29	58	136
30	60	134
31	62	132
32	64	130
33	65	127
34	67	125
35	69	123
36	71	121
37	73	119
38	74	117
39	76	115
40	78	113
41	79	109
42	81	107
43	83	105
44	84	103
45	86	101
46	88	99
47	90	98
48	92	96
49	94	94
50	95	92
51	97	90
52	99	88
53	101	86
54	102	83
55	104	82
56	106	80
57	108	78
58	109	76
59	111	74
60	113	72
61	115	70
62	117	68
63	119	67
64	121	65
65	123	63
66	125	61
67	127	60
68	129	58
69	131	56
70	133	54
71	135	52
72	137	50
73	138	48
74	140	46
75	142	44
76	144	43
77	145	41
78	147	39
79	149	37
80	151	35
81	153	33
82	154	31
83	156	29
84	158	27
85	160	26
86	162	24
87	163	22
88	165	20
89	167	18
90	169	16
91	170	14
92	172	13
93	174	11
94	176	9
95	178	7
96	180	5
97	181	3
98	183	1
99	185	0
